frame,time,px,py,pz,dx,dy,dz,fov
228,4.75,6.138989,16.0,16.061541,-0.348827,-0.213081,-0.912642,60.3194
229,4.7708,6.0742,16.0,16.040499,-0.345966,-0.213587,-0.913613,60.3284
230,4.7917,6.009162,16.0,16.019959,-0.343066,-0.21409,-0.914588,60.3373
231,4.8125,5.943878,16.0,15.999913,-0.340128,-0.214587,-0.915568,60.3461
232,4.8333,5.878353,16.0,15.980352,-0.337153,-0.215081,-0.916552,60.3549
233,4.8542,5.81259,16.0,15.961269,-0.334139,-0.21557,-0.91754,60.3636
234,4.875,5.746593,16.0,15.942653,-0.331088,-0.216055,-0.918532,60.3722
235,4.8958,5.680366,16.0,15.924497,-0.328001,-0.216536,-0.919526,60.3807
236,4.9167,5.613914,16.0,15.906792,-0.324876,-0.217012,-0.920522,60.3892
237,4.9375,5.54724,16.0,15.889529,-0.321715,-0.217483,-0.921521,60.3976
238,4.9583,5.480349,16.0,15.872698,-0.318518,-0.21795,-0.922521,60.406
239,4.9792,5.413244,16.0,15.85629,-0.315285,-0.218412,-0.923521,60.4143
240,5.0,5.345931,16.0,15.840297,-0.312016,-0.21887,-0.924522,60.4225
241,5.0208,5.278413,16.0,15.824708,-0.308713,-0.219322,-0.925524,60.4307
242,5.0417,5.210694,16.0,15.809514,-0.305375,-0.219771,-0.926524,60.4388
243,5.0625,5.142779,16.0,15.794707,-0.302003,-0.220214,-0.927524,60.4468
244,5.0833,5.074673,16.0,15.780275,-0.298597,-0.220652,-0.928522,60.4548
245,5.1042,5.006378,16.0,15.766209,-0.295158,-0.221086,-0.929518,60.4628
246,5.125,4.937901,16.0,15.7525,-0.291685,-0.221515,-0.930511,60.4707
247,5.1458,4.869245,16.0,15.739136,-0.28818,-0.221939,-0.931502,60.4786
248,5.1667,4.800415,16.0,15.726109,-0.284643,-0.222358,-0.932489,60.4864
249,5.1875,4.731415,16.0,15.713409,-0.281075,-0.222773,-0.933472,60.4941
250,5.2083,4.662249,16.0,15.701023,-0.277475,-0.223182,-0.93445,60.5018
251,5.2292,4.592923,16.0,15.688943,-0.273844,-0.223587,-0.935424,60.5095
252,5.25,4.523441,16.0,15.677159,-0.270184,-0.223986,-0.936392,60.5171
253,5.2708,4.453807,16.0,15.665658,-0.266494,-0.224381,-0.937355,60.5247
254,5.2917,4.384026,16.0,15.654431,-0.262774,-0.224771,-0.938311,60.5323
255,5.3125,4.314103,16.0,15.643467,-0.259026,-0.225156,-0.93926,60.5398
256,5.3333,4.244042,16.0,15.632755,-0.25525,-0.225537,-0.940202,60.5473
257,5.3542,4.173848,16.0,15.622285,-0.251446,-0.225912,-0.941137,60.5547
