frame,time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
92,1.916667,-1.927257,-5.502159,-0.676271,-5.500137,3.659048,-4.569762,4.900865,-4.558953,6.138535,-4.550410
93,1.937500,-1.949374,-5.503652,-0.699029,-5.501760,3.545100,-4.631943,4.786955,-4.621548,6.024797,-4.613255
94,1.958333,-1.972362,-5.505135,-0.722708,-5.503375,3.424516,-4.695005,4.666377,-4.685055,5.904369,-4.677040
95,1.979167,-1.996176,-5.506597,-0.747263,-5.504970,3.297388,-4.758523,4.539222,-4.749045,5.777340,-4.741337
96,2.000000,-2.020771,-5.508027,-0.772647,-5.506534,3.163833,-4.822064,4.405605,-4.813083,5.643821,-4.805708
97,2.020833,-2.046102,-5.509415,-0.798812,-5.508056,3.023994,-4.885191,4.265665,-4.876730,5.503952,-4.869712
98,2.041667,-2.072119,-5.510752,-0.825707,-5.509525,2.878038,-4.947467,4.119568,-4.939544,5.357897,-4.932905
99,2.062500,-2.098774,-5.512028,-0.853283,-5.510932,2.726162,-5.008455,3.967510,-5.001086,5.205847,-4.994847
100,2.083333,-2.126015,-5.513233,-0.881487,-5.512265,2.568588,-5.067727,3.809712,-5.060922,5.048025,-5.055100
101,2.104167,-2.153792,-5.514361,-0.910266,-5.513516,2.405569,-5.124860,3.646426,-5.118629,4.884679,-5.113238
102,2.125000,-2.182051,-5.515403,-0.939564,-5.514676,2.237389,-5.179449,3.477932,-5.173794,4.716091,-5.168845
103,2.145833,-2.210741,-5.516352,-0.969328,-5.515738,2.064357,-5.231102,3.304543,-5.226023,4.542570,-5.221525
104,2.166667,-2.239806,-5.517201,-0.999500,-5.516693,1.886813,-5.279446,3.126595,-5.274939,4.364452,-5.270896
105,2.187500,-2.269192,-5.517946,-1.030025,-5.517537,1.705122,-5.324135,2.944455,-5.320191,4.182104,-5.316606
106,2.208333,-2.298843,-5.518580,-1.060844,-5.518263,1.519677,-5.364848,2.758516,-5.361453,3.995918,-5.358323
107,2.229167,-2.328705,-5.519101,-1.091899,-5.518866,1.330893,-5.401292,2.569194,-5.398429,3.806311,-5.395750
